0,1,2,3,4,5,6,7,8,9,10,11,12,label
-204.87091,-94.099976,-85.43086,-6.279891,0.65920067,20.069946,-21.704054,11.693432,13.601214,14.522667,-5.7184615,5.7980223,3.683494,1
-166.28313,-94.71167,-78.04769,-13.003877,-7.674306,27.961107,-26.151562,11.228173,14.550518,7.7218137,-5.965803,4.090308,4.8087287,1
-151.72232,-94.84523,-74.02482,-5.2814827,-9.112388,28.415638,-19.954117,17.39441,12.284302,8.222798,-4.374867,6.8049245,6.418335,1
-148.74701,-96.28319,-72.11871,0.19769153,-8.352314,28.273916,-17.364462,23.77044,8.68471,3.644459,-1.0598229,8.160394,8.894489,1
-161.8186,-97.508766,-76.56591,-3.804111,-9.259615,27.081339,-20.187975,19.47086,10.439023,4.4302893,-3.4129505,7.574792,8.275841,1
-163.92908,-100.60105,-75.33329,-7.6520987,-8.4886875,27.394194,-18.114466,20.178648,9.394291,6.0638356,-3.5378041,7.857272,7.1353264,1
-184.52608,-96.32069,-76.1789,-5.5187817,-4.6889615,30.270445,-20.522102,18.251783,13.525741,8.192943,-2.85166,6.8506265,8.17668,1
-312.10684,-97.79123,-76.062355,-9.671874,-5.286994,26.775923,-22.206923,16.814615,14.160907,7.071466,-3.2867186,5.7435927,5.8554144,1
-141.1774,-92.19341,-84.51442,-4.54493,1.210821,21.12613,-21.851873,11.039011,14.300513,13.001212,-5.1168833,6.010914,3.6079247,1
-146.79651,-97.73945,-88.57611,-9.44959,-1.5791135,19.315315,-23.324635,9.046977,13.083446,11.594937,-5.780501,4.2498755,3.3196023,1
-142.4927,-96.36558,-88.8081,-7.0526357,-1.2784737,19.222458,-24.737452,8.390322,13.0592375,11.638733,-5.9125605,3.9117553,2.511402,1
-146.05731,-97.7788,-89.552536,-11.936831,-0.43874675,18.557306,-23.571672,8.602226,11.4123,11.669661,-6.9017687,3.4768593,4.115725,1
-142.67108,-97.172005,-86.37349,-9.669657,1.1071228,19.883865,-22.52258,10.4972315,12.226154,12.548203,-6.053786,4.362037,4.815249,1
-141.28265,-96.99165,-87.2669,-13.230615,0.07870007,18.97988,-26.148466,10.665302,11.464612,12.266581,-7.4321585,4.038384,3.2685575,1
-148.58661,-95.40187,-81.11467,-11.913079,-0.45678365,27.18725,-25.086977,13.440237,14.473615,12.727999,-4.427376,4.5109587,6.489631,1
-159.98404,-100.10442,-78.90701,-13.54379,-6.7871995,29.608671,-27.354288,12.1938305,14.269871,7.415799,-5.0815325,2.3836472,4.716804,1
